=================================================================================
File Name	: hai3/20220825_101225/test/split_label_220817_00_64_01_s081700_e081916.csv 
  File Size	: 5.0500 MB
  Columns	: 1 
    Names	: timestamp, label, 
StartTime		: 2022-08-17 00:00:01
 EndTime		: 2022-08-19 16:00:00
 Duration		: 64.00 hours / 2.67 days 
  Attacks		: 40 times

-------------------------------|  Attacks |--------------------------------------
 Duration		: min 00:01:00 / max 00:34:11 / avg 00:03:38
 Total		: 02:25:35 (3.79 percent)
---------------------------------------------------------------------------------
index	Start Time		End Time			Duration
---------------------------------------------------------------------------------
[  1]	2022-08-17 01:27:06	2022-08-17 01:29:18	00:02:12
[  2]	2022-08-17 03:37:02	2022-08-17 03:39:13	00:02:11
[  3]	2022-08-17 04:21:03	2022-08-17 04:22:11	00:01:08
[  4]	2022-08-17 05:46:02	2022-08-17 05:48:04	00:02:02
[  5]	2022-08-17 06:21:05	2022-08-17 06:22:30	00:01:25
[  6]	2022-08-17 08:36:01	2022-08-17 08:39:17	00:03:16
[  7]	2022-08-17 09:42:04	2022-08-17 09:52:18	00:10:14
[  8]	2022-08-17 10:36:02	2022-08-17 10:38:15	00:02:13
[  9]	2022-08-17 11:35:05	2022-08-17 11:36:30	00:01:25
[ 10]	2022-08-17 12:25:05	2022-08-17 12:26:33	00:01:28
[ 11]	2022-08-17 13:47:05	2022-08-17 13:50:29	00:03:24
[ 12]	2022-08-17 14:25:04	2022-08-17 14:27:11	00:02:07
[ 13]	2022-08-17 15:13:01	2022-08-17 15:22:00	00:08:59
[ 14]	2022-08-17 17:34:04	2022-08-17 17:35:05	00:01:01
[ 15]	2022-08-17 18:16:04	2022-08-17 18:18:31	00:02:27
[ 16]	2022-08-17 19:40:03	2022-08-17 19:41:38	00:01:35
[ 17]	2022-08-17 20:12:03	2022-08-17 20:20:28	00:08:25
[ 18]	2022-08-17 22:41:01	2022-08-17 22:44:35	00:03:34
[ 19]	2022-08-17 23:38:04	2022-08-17 23:40:15	00:02:11
[ 20]	2022-08-18 13:48:03	2022-08-18 13:50:14	00:02:11
[ 21]	2022-08-18 14:58:52	2022-08-18 15:00:14	00:01:22
[ 22]	2022-08-18 16:20:20	2022-08-18 16:23:51	00:03:31
[ 23]	2022-08-18 17:38:10	2022-08-18 17:39:29	00:01:19
[ 24]	2022-08-18 18:45:06	2022-08-18 18:46:53	00:01:47
[ 25]	2022-08-18 19:21:01	2022-08-18 19:22:01	00:01:00
[ 26]	2022-08-18 20:32:09	2022-08-18 20:34:07	00:01:58
[ 27]	2022-08-18 21:41:02	2022-08-18 21:43:14	00:02:12
[ 28]	2022-08-18 23:15:01	2022-08-18 23:17:36	00:02:35
[ 29]	2022-08-19 01:23:04	2022-08-19 01:24:59	00:01:55
[ 30]	2022-08-19 02:43:01	2022-08-19 02:45:35	00:02:34
[ 31]	2022-08-19 04:34:01	2022-08-19 04:35:36	00:01:35
[ 32]	2022-08-19 05:14:02	2022-08-19 05:16:35	00:02:33
[ 33]	2022-08-19 06:46:01	2022-08-19 07:20:12	00:34:11
[ 34]	2022-08-19 08:24:01	2022-08-19 08:32:50	00:08:49
[ 35]	2022-08-19 09:27:33	2022-08-19 09:28:59	00:01:26
[ 36]	2022-08-19 10:34:00	2022-08-19 10:35:59	00:01:59
[ 37]	2022-08-19 14:18:00	2022-08-19 14:21:09	00:03:09
[ 38]	2022-08-19 14:51:00	2022-08-19 14:53:02	00:02:02
=================================================================================
